Valve,DateTime,status,200,202.5,205,207.5,210,212.5,215,217.5,220,222.5,225,227.5,230,232.5,235,237.5,240,242.5,245,247.5,250,252.5,255,257.5,260,262.5,265,267.5,270,272.5,275,277.5,280,282.5,285,287.5,290,292.5,295,297.5,300,302.5,305,307.5,310,312.5,315,317.5,320,322.5,325,327.5,330,332.5,335,337.5,340,342.5,345,347.5,350,352.5,355,357.5,360,362.5,365,367.5,370,372.5,375,377.5,380,382.5,385,387.5,390,392.5,395,397.5,400,402.5,405,407.5,410,412.5,415,417.5,420,422.5,425,427.5,430,432.5,435,437.5,440,442.5,445,447.5,450,452.5,455,457.5,460,462.5,465,467.5,470,472.5,475,477.5,480,482.5,485,487.5,490,492.5,495,497.5,500,502.5,505,507.5,510,512.5,515,517.5,520,522.5,525,527.5,530,532.5,535,537.5,540,542.5,545,547.5,550,552.5,555,557.5,560,562.5,565,567.5,570,572.5,575,577.5,580,582.5,585,587.5,590,592.5,595,597.5,600,602.5,605,607.5,610,612.5,615,617.5,620,622.5,625,627.5,630,632.5,635,637.5,640,642.5,645,647.5,650,652.5,655,657.5,660,662.5,665,667.5,670,672.5,675,677.5,680,682.5,685,687.5,690,692.5,695,697.5,700,702.5,705,707.5,710,712.5,715,717.5,720,722.5,725,727.5,730,
1,8/19/18 10:19,Ok,36.6908,34.9946,33.4335,31.9258,30.5283,29.4385,28.578,27.7905,27.0833,26.4128,25.721,25.1961,24.8223,24.3221,23.7027,23.1204,22.6271,22.2599,21.9227,21.5946,21.3271,21.0337,20.7393,20.5168,20.3404,20.1383,19.8908,19.6266,19.3528,19.0905,18.8134,18.4851,18.1505,17.8296,17.5091,17.1949,16.9023,16.6063,16.321,16.0684,15.8326,15.5782,15.3428,15.1204,14.9026,14.7017,14.4908,14.2956,14.0991,13.9083,13.7338,13.5592,13.3826,13.2105,13.0467,12.8719,12.7174,12.5611,12.392,12.2354,12.0929,11.9438,11.7741,11.6238,11.4682,11.3218,11.1492,10.9633,10.8147,10.6457,10.4717,10.3157,10.1877,10.0288,9.8835,9.7711,9.5983,9.4675,9.3488,9.2011,9.0467,8.8733,8.6954,8.5469,8.3914,8.2182,8.0616,7.9141,7.7828,7.6364,7.4751,7.3163,7.216,7.1158,7.0139,6.9298,6.7605,6.6327,6.5748,6.4572,6.3411,6.2621,6.1656,6.0639,5.9936,5.923,5.8415,5.7713,5.6834,5.6214,5.5663,5.4921,5.4356,5.3912,5.3423,5.2982,5.197,5.1336,5.1125,5.0212,4.9522,4.9184,4.8768,4.815,4.7536,4.7223,4.6472,4.5875,4.532,4.4835,4.4685,4.4189,4.3785,4.3022,4.2208,4.1787,4.1641,4.1486,4.0844,4.0076,3.9693,3.9452,3.9182,3.8918,3.8365,3.7967,3.7693,3.6948,3.6591,3.6422,3.6662,3.6394,3.5545,3.5476,3.5252,3.4689,3.4616,3.4431,3.4028,3.4138,3.3344,3.2935,3.3261,3.2887,3.2538,3.2782,3.2968,3.2073,3.1566,3.1784,3.1575,3.1409,3.1114,3.0846,3.0791,3.0714,3.0339,2.9696,2.9884,3.063,2.985,2.8931,2.9615,3.0105,2.9328,2.898,2.8767,2.8686,2.8907,2.8702,2.87,2.8382,2.8332,2.8412,2.8121,2.776,2.7738,2.8181,2.7813,2.7457,2.7522,2.752,2.7391,2.6709,2.6566,2.7114,2.7059,2.6582,2.6349,2.5666,2.5669,2.6178,2.6209,8/19/18
3,8/19/18 10:27,Ok,32.9234,31.5216,30.2496,29.0304,27.9343,27.0578,26.3512,25.7308,25.1572,24.6061,24.0373,23.6089,23.2963,22.8654,22.3371,21.8424,21.422,21.1048,20.807,20.5155,20.2734,20.0006,19.7126,19.4891,19.3101,19.1162,18.8966,18.6633,18.4324,18.2127,17.9829,17.7169,17.4519,17.1972,16.9422,16.6879,16.4396,16.19,15.9517,15.7352,15.5308,15.3078,15.1036,14.9114,14.7189,14.5338,14.3428,14.1653,13.9861,13.8153,13.6648,13.5028,13.3307,13.1828,13.0385,12.884,12.7382,12.5866,12.4293,12.2889,12.1626,12.0186,11.8543,11.7053,11.552,11.4146,11.25,11.0788,10.9353,10.7756,10.624,10.4728,10.35,10.1875,10.0439,9.9527,9.7873,9.6594,9.5411,9.3927,9.2406,9.0718,8.9075,8.7687,8.6167,8.446,8.2995,8.159,8.032,7.8892,7.7326,7.5781,7.477,7.3788,7.2775,7.1947,7.0303,6.9036,6.8461,6.7289,6.6106,6.5312,6.4359,6.3297,6.2525,6.1804,6.1015,6.0334,5.9489,5.8782,5.8167,5.7493,5.6997,5.649,5.597,5.5514,5.4505,5.3901,5.3664,5.2805,5.2081,5.1637,5.1253,5.067,5.0051,4.9665,4.8831,4.8295,4.7754,4.7186,4.7009,4.6544,4.6167,4.5379,4.4549,4.4117,4.3985,4.3808,4.3116,4.2392,4.205,4.1779,4.1518,4.1207,4.0575,4.0141,3.986,3.9178,3.8872,3.8588,3.8857,3.8751,3.7865,3.7677,3.7339,3.6795,3.6757,3.6569,3.6119,3.6156,3.542,3.511,3.5468,3.5033,3.4574,3.4807,3.5062,3.4179,3.3636,3.3855,3.3686,3.3543,3.3241,3.2961,3.2986,3.2968,3.2504,3.1758,3.1946,3.2547,3.1776,3.0987,3.159,3.1996,3.118,3.0869,3.0949,3.0787,3.096,3.0817,3.0733,3.0508,3.0251,3.0403,3.0297,2.9915,2.9974,3.047,3.0082,2.9596,2.964,2.966,2.9463,2.8767,2.856,2.901,2.8999,2.8533,2.8256,2.7624,2.7552,2.7965,2.7996,8/19/18
4,8/19/18 10:31,Ok,33.448,31.7936,30.1133,28.532,27.1861,26.2362,25.5698,25.0339,24.5894,24.2178,23.889,23.6847,23.5415,23.3188,23.0701,22.8455,22.6436,22.4583,22.2118,21.9167,21.6235,21.2501,20.7467,20.2283,19.8541,19.5654,19.2585,18.9838,18.7367,18.517,18.3175,18.0882,17.8623,17.6517,17.4387,17.2254,17.0214,16.818,16.6133,16.4185,16.2215,15.9984,15.8049,15.633,15.4596,15.3008,15.1322,14.969,14.8183,14.6797,14.542,14.3976,14.2528,14.1161,13.9934,13.8588,13.7292,13.6067,13.4676,13.3302,13.2193,13.0976,12.9537,12.8228,12.6791,12.5537,12.3963,12.2205,12.0813,11.9291,11.7806,11.641,11.52,11.3587,11.2212,11.1286,10.9695,10.8435,10.7247,10.5745,10.4238,10.2522,10.0785,9.9392,9.7842,9.6124,9.463,9.3145,9.1838,9.0393,8.878,8.7171,8.6119,8.5058,8.3961,8.3012,8.1278,7.9975,7.9318,7.8043,7.6813,7.5932,7.4893,7.3738,7.2967,7.2231,7.1324,7.0571,6.9624,6.8897,6.8251,6.7456,6.6848,6.6333,6.579,6.5279,6.419,6.3469,6.3187,6.2316,6.1529,6.1059,6.0614,5.9959,5.9256,5.876,5.7932,5.7347,5.6728,5.6106,5.5861,5.532,5.4905,5.4142,5.3269,5.2752,5.2541,5.2319,5.1606,5.0824,5.0432,5.0106,4.9822,4.9556,4.8902,4.8353,4.8034,4.7365,4.7009,4.6733,4.6935,4.6695,4.5812,4.5718,4.5417,4.4724,4.4561,4.4294,4.3883,4.3983,4.3152,4.28,4.3034,4.254,4.2229,4.2494,4.2622,4.1672,4.1056,4.1252,4.1134,4.0956,4.0608,4.0275,4.0293,4.0237,3.9808,3.9135,3.9204,3.9832,3.9165,3.83,3.8777,3.9189,3.8463,3.8143,3.8014,3.7944,3.8184,3.8004,3.7924,3.768,3.729,3.7364,3.7387,3.6954,3.6749,3.7313,3.7102,3.6501,3.6487,3.6477,3.6348,3.5824,3.5533,3.6037,3.6153,3.5628,3.5348,3.4753,3.4661,3.4921,3.503,8/19/18
5,8/19/18 10:35,Ok,47.3311,45.4486,43.3693,41.2819,39.5727,38.4296,37.6715,37.095,36.5994,36.1882,35.9022,35.7942,35.7086,35.5182,35.3264,35.158,34.9949,34.8108,34.4801,34.0531,33.5917,32.9913,32.1652,31.2926,30.6894,30.2331,29.7239,29.2843,28.9275,28.6066,28.2967,27.959,27.6261,27.3345,27.0567,26.7631,26.4762,26.1992,25.9275,25.659,25.3621,25.0337,24.7331,24.4555,24.1854,23.9251,23.6545,23.3925,23.1065,22.8478,22.6255,22.3801,22.1197,21.874,21.6614,21.4352,21.2085,20.9685,20.7258,20.4938,20.2766,20.0461,19.7731,19.5218,19.2662,19.0222,18.7503,18.4282,18.1325,17.833,17.5223,17.2393,16.9932,16.6884,16.393,16.1551,15.8437,15.5832,15.3316,15.057,14.7821,14.4829,14.194,13.9375,13.6758,13.3999,13.1334,12.878,12.6465,12.4078,12.1639,11.9215,11.7252,11.5184,11.3182,11.1421,10.886,10.6764,10.5397,10.3487,10.1647,10.0178,9.8622,9.6913,9.5587,9.4429,9.3172,9.1973,9.0593,8.9475,8.8464,8.7335,8.6358,8.5395,8.4521,8.3755,8.233,8.1267,8.0651,7.9452,7.8335,7.7517,7.6764,7.5754,7.4719,7.4012,7.2878,7.1926,7.0982,7.0166,6.9721,6.8884,6.8194,6.7173,6.6118,6.5401,6.4928,6.4494,6.3624,6.2657,6.2045,6.157,6.1007,6.0466,5.9731,5.9067,5.8543,5.7709,5.7202,5.6818,5.6884,5.6446,5.5466,5.5217,5.4696,5.3903,5.3732,5.3419,5.2805,5.2735,5.1872,5.1426,5.1632,5.1081,5.0567,5.0671,5.0753,4.9732,4.9091,4.9209,4.8952,4.8673,4.832,4.805,4.7894,4.7686,4.7173,4.6457,4.6604,4.7145,4.6393,4.5472,4.5809,4.6191,4.5451,4.5082,4.4923,4.4788,4.4977,4.4773,4.4606,4.4154,4.3901,4.3906,4.361,4.3174,4.3045,4.3427,4.3093,4.2592,4.2578,4.269,4.246,4.1824,4.1639,4.1997,4.2069,4.1609,4.123,4.0582,4.0372,4.075,4.1043,8/19/18
6,8/19/18 10:39,Ok,59.9008,58.3896,56.9242,55.4498,54.2041,53.3479,52.9059,52.5046,51.94,51.4281,51.0738,50.8449,50.5557,49.9943,49.2386,48.5325,47.9777,47.5504,47.0758,46.5499,46.0236,45.3937,44.6918,44.2206,43.9333,43.5533,43.0908,42.621,42.2023,41.8,41.3886,40.9101,40.4148,39.9888,39.6058,39.1896,38.794,38.4515,38.0894,37.733,37.3969,36.9995,36.6027,36.2237,35.8228,35.4568,35.0464,34.6218,34.2205,33.8156,33.4342,33.0893,32.7045,32.3048,31.94,31.5962,31.2613,30.908,30.5595,30.2029,29.8464,29.4405,29.0279,28.6669,28.2541,27.8645,27.43,26.9267,26.4449,25.9474,25.4435,24.9668,24.5346,24.0462,23.5614,23.1437,22.6681,22.2215,21.8062,21.3908,20.9494,20.48,20.0413,19.647,19.2588,18.8623,18.4832,18.1048,17.7371,17.3676,17.001,16.6529,16.3484,16.0254,15.7156,15.4281,15.0705,14.7684,14.5401,14.2605,14.0011,13.7855,13.557,13.3112,13.1042,12.9289,12.7564,12.5846,12.3912,12.2316,12.0839,11.929,11.7892,11.6338,11.4874,11.3687,11.1998,11.0593,10.9594,10.7987,10.6385,10.5102,10.3829,10.2373,10.1016,9.9914,9.8376,9.7048,9.5737,9.4589,9.3853,9.2638,9.1479,9.0189,8.8974,8.7978,8.7223,8.6425,8.5175,8.4038,8.3303,8.2569,8.1751,8.0998,7.9971,7.9153,7.8457,7.7277,7.6581,7.5956,7.5787,7.5236,7.4088,7.366,7.3074,7.2094,7.1727,7.1344,7.0609,7.0325,6.9246,6.8726,6.8808,6.804,6.7416,6.7516,6.7519,6.6353,6.5566,6.5695,6.5331,6.4893,6.4469,6.3971,6.3685,6.349,6.294,6.2024,6.1913,6.2501,6.1736,6.0716,6.1148,6.1445,6.0622,6.0143,5.9865,5.9705,5.9812,5.9422,5.938,5.8857,5.8311,5.8354,5.7996,5.7428,5.7329,5.7666,5.7256,5.6837,5.6774,5.685,5.6576,5.5682,5.5704,5.6266,5.6213,5.5617,5.5105,5.4378,5.4366,5.4812,5.489,8/19/18
7,8/19/18 10:43,Ok,11.5859,12.0448,12.2617,12.3343,12.3667,12.4098,12.4162,12.3983,12.3884,12.355,12.3048,12.3003,12.2704,12.1767,12.1016,12.0446,11.9992,11.9433,11.872,11.7959,11.7165,11.6321,11.5656,11.5433,11.4965,11.4142,11.3685,11.3403,11.2971,11.2465,11.1991,11.1536,11.1208,11.0965,11.0432,10.9924,10.9671,10.9362,10.8974,10.8504,10.8059,10.7458,10.703,10.667,10.6137,10.5516,10.4802,10.4294,10.375,10.3209,10.272,10.2153,10.1566,10.1087,10.0639,9.9984,9.9451,9.8895,9.816,9.7522,9.7102,9.6577,9.5824,9.5163,9.4367,9.3569,9.2489,9.1149,8.9894,8.8459,8.7127,8.6191,8.5831,8.5115,8.441,8.411,8.307,8.231,8.1511,8.0571,7.9743,7.8714,7.766,7.6706,7.5793,7.4749,7.3917,7.3208,7.236,7.1254,6.999,6.8804,6.8178,6.7568,6.6952,6.6486,6.5162,6.4205,6.3931,6.3025,6.208,6.1601,6.0989,6.0193,5.9632,5.9165,5.8648,5.8102,5.7386,5.6999,5.6633,5.6157,5.5917,5.5666,5.5283,5.4937,5.4102,5.3613,5.3516,5.2842,5.2304,5.2015,5.1732,5.1319,5.0923,5.0704,5.0068,4.9624,4.9199,4.8891,4.9003,4.8757,4.8436,4.7774,4.712,4.684,4.6835,4.6739,4.6145,4.5488,4.5244,4.5071,4.4817,4.4625,4.414,4.3805,4.3644,4.3044,4.2828,4.2709,4.3057,4.2954,4.2143,4.2051,4.176,4.1164,4.1229,4.1136,4.0666,4.0745,4.0008,3.9703,4.0042,3.9478,3.9093,3.9492,3.9717,3.8871,3.8291,3.8492,3.8399,3.8253,3.7993,3.7768,3.7906,3.7952,3.7486,3.6743,3.6878,3.7647,3.7037,3.6226,3.6747,3.7181,3.6477,3.6257,3.6185,3.6151,3.646,3.6164,3.6059,3.592,3.5639,3.5468,3.5298,3.5011,3.4994,3.5425,3.5112,3.4672,3.4655,3.4796,3.4744,3.4063,3.3769,3.4232,3.4233,3.3526,3.2916,3.2194,3.1944,3.181,3.1425,8/19/18
8,8/19/18 10:47,Ok,11.5449,12.0027,12.231,12.3071,12.3461,12.3811,12.3832,12.3721,12.3583,12.3296,12.2958,12.2956,12.257,12.1634,12.0926,12.0385,11.9925,11.937,11.8671,11.7899,11.7089,11.6235,11.5591,11.5386,11.4904,11.4081,11.3615,11.3314,11.2842,11.2284,11.187,11.1424,11.1064,11.0807,11.0253,10.9762,10.9471,10.9184,10.8846,10.8337,10.7863,10.7311,10.6886,10.6468,10.5902,10.5267,10.4614,10.405,10.3504,10.3033,10.2508,10.1876,10.1359,10.0969,10.0406,9.9728,9.9278,9.8712,9.7957,9.7305,9.6882,9.6367,9.5541,9.4825,9.4073,9.3278,9.2161,9.0793,8.9567,8.8111,8.6808,8.5869,8.5451,8.4725,8.3971,8.3712,8.2815,8.202,8.1195,8.0272,7.945,7.8416,7.7234,7.6344,7.5484,7.437,7.3555,7.287,7.2008,7.0901,6.9606,6.839,6.7778,6.715,6.6516,6.6078,6.4767,6.3738,6.3458,6.2627,6.1632,6.1111,6.0527,5.9754,5.9197,5.8699,5.8152,5.7646,5.6895,5.6464,5.6141,5.5689,5.5445,5.5168,5.4763,5.4388,5.3572,5.3109,5.3035,5.235,5.1792,5.1507,5.1229,5.0785,5.0386,5.0157,4.9495,4.9131,4.8682,4.8317,4.8463,4.8189,4.7827,4.7174,4.6521,4.6236,4.6228,4.6128,4.5581,4.4921,4.4644,4.4523,4.4256,4.4008,4.3652,4.3338,4.3058,4.2465,4.2205,4.2143,4.244,4.229,4.155,4.1479,4.1209,4.0638,4.064,4.0534,4.0048,4.0059,3.9373,3.9041,3.9272,3.88,3.8473,3.8783,3.9036,3.8105,3.7642,3.7993,3.7861,3.7725,3.7448,3.7189,3.7291,3.7266,3.6807,3.6144,3.6284,3.7007,3.6272,3.5538,3.6158,3.6518,3.6009,3.5734,3.5479,3.5384,3.5681,3.5512,3.5428,3.5217,3.4905,3.4837,3.4671,3.4261,3.4229,3.4662,3.4318,3.3968,3.4079,3.4168,3.401,3.3248,3.3014,3.3482,3.3401,3.2773,3.218,3.1386,3.1121,3.1047,3.0617,8/19/18
1,10/1/18 11:44,Ok,42.0214,41.6346,41.0612,40.4053,39.7827,39.2001,38.7288,38.328,37.9475,37.6739,37.4465,37.1409,36.8606,36.6151,36.2385,35.8277,35.387,35.0013,34.6538,34.2736,33.971,33.6139,33.2332,32.82,32.4486,32.2684,32.0354,31.7005,31.3967,31.1603,30.956,30.7263,30.491,30.2675,30.0726,29.91,29.7483,29.5768,29.4037,29.2206,29.0822,28.9639,28.8067,28.6209,28.4298,28.2672,28.1115,27.9383,27.7671,27.5737,27.3738,27.2189,27.0709,26.8555,26.6792,26.5496,26.3723,26.1627,25.9734,25.8127,25.6187,25.3753,25.1277,24.9011,24.6652,24.4386,24.218,23.9479,23.6561,23.3355,22.9986,22.7306,22.5057,22.2399,21.9562,21.7072,21.4471,21.2037,20.9745,20.7657,20.5288,20.2361,19.9748,19.7273,19.5255,19.3369,19.1093,18.8654,18.6546,18.4972,18.325,18.0739,17.8178,17.6244,17.4652,17.3164,17.1514,16.9562,16.8088,16.7078,16.5539,16.3823,16.2526,16.1354,16.0223,15.8956,15.7935,15.7039,15.5772,15.4998,15.4245,15.3209,15.2411,15.1875,15.1012,15.0049,14.9093,14.8262,14.7739,14.674,14.5806,14.4983,14.3922,14.3011,14.2121,14.1384,14.0656,13.953,13.8697,13.7819,13.7197,13.6677,13.5841,13.5381,13.4775,13.3737,13.3204,13.2823,13.1794,13.0652,13.0089,12.9581,12.8947,12.8385,12.7545,12.7,12.6431,12.5831,12.5445,12.5183,12.4975,12.458,12.3788,12.2852,12.2439,12.1932,12.161,12.103,12.049,12.0681,12.0135,11.9504,11.922,11.8836,11.8347,11.8082,11.7613,11.7137,11.6917,11.6632,11.6247,11.5655,11.504,11.5057,11.5391,11.5085,11.4837,11.4383,11.3807,11.3222,11.2387,11.2161,11.275,11.3322,11.2773,11.2098,11.1896,11.1389,11.0676,11.0662,11.1434,11.148,11.0661,10.9722,10.9777,10.9971,10.9101,10.921,10.9193,10.8852,10.8998,10.8337,10.7994,10.7911,10.8308,10.8027,10.6747,10.6503,10.6681,10.6213,10.5665,10.5065,10.4321,10/1/18
3,10/1/18 11:51,Ok,43.7474,43.2409,42.5402,41.8842,41.2678,40.582,40.0181,39.6234,39.2451,38.9482,38.6812,38.3514,38.059,37.7912,37.4022,36.9879,36.5237,36.1272,35.7741,35.3651,35.0589,34.7192,34.3317,33.907,33.5375,33.3799,33.1625,32.8407,32.5589,32.3336,32.1531,31.9361,31.695,31.4994,31.3015,31.1158,30.9428,30.7851,30.6219,30.4349,30.2757,30.1317,29.9491,29.7568,29.5695,29.3809,29.2208,29.048,28.8477,28.6587,28.4724,28.2878,28.1134,27.9319,27.7455,27.5935,27.4273,27.2079,26.9898,26.8209,26.6259,26.3689,26.1212,25.8994,25.6438,25.3986,25.1435,24.8585,24.572,24.2393,23.8995,23.6149,23.3635,23.0902,22.8163,22.5649,22.3018,22.0546,21.8212,21.6121,21.3774,21.0918,20.8229,20.5642,20.3656,20.1918,19.9641,19.7111,19.4968,19.3385,19.1693,18.9209,18.6599,18.4595,18.3043,18.1573,17.981,17.7845,17.6434,17.5367,17.3799,17.2124,17.0789,16.9588,16.8423,16.719,16.6194,16.5248,16.4016,16.3148,16.2365,16.1379,16.051,15.9894,15.9,15.8097,15.7091,15.615,15.5637,15.4681,15.3665,15.2704,15.1698,15.085,14.9758,14.8914,14.8209,14.6991,14.6039,14.5134,14.4457,14.3866,14.3025,14.2494,14.1807,14.0741,14.0109,13.9679,13.8638,13.7485,13.6929,13.6391,13.5694,13.5007,13.4166,13.3659,13.305,13.2396,13.1988,13.1687,13.1379,13.0967,13.0221,12.9207,12.8689,12.8111,12.7713,12.7248,12.6849,12.6969,12.6365,12.5679,12.5264,12.4899,12.4529,12.4274,12.3746,12.313,12.2831,12.2677,12.2276,12.1561,12.098,12.0913,12.1191,12.0861,12.0665,12.0318,11.9753,11.9163,11.8276,11.7946,11.8627,11.9176,11.8528,11.7948,11.7766,11.7208,11.6474,11.6252,11.6894,11.7072,11.6264,11.5499,11.5488,11.5405,11.4636,11.5014,11.514,11.4499,11.4411,11.3787,11.3414,11.3397,11.3767,11.3517,11.233,11.1753,11.1847,11.1717,11.1155,11.0651,11.0182,10/1/18
